installer,target,package_name,url,confidence
uv,Conda,conda,https://pypi.org/project/conda/,ecosystems
uv,pdm,pdm,https://pypi.org/project/pdm/,ecosystems
uv,pip,pip,https://pypi.org/project/pip/,ecosystems
uv,Poetry,poetry,https://pypi.org/project/poetry/,ecosystems
uv,uv,uv,https://pypi.org/project/uv/,ecosystems
Yarn,Bun,bun,https://www.npmjs.com/package/bun,ecosystems
Yarn,Elm,elm,https://www.npmjs.com/package/elm,ecosystems
Yarn,Maven,,https://www.npmjs.com/package/maven-artifact-version,squat
Yarn,npm,npm,https://www.npmjs.com/package/npm,ecosystems
Yarn,pnpm,pnpm,https://www.npmjs.com/package/pnpm,ecosystems
Yarn,Yarn,yarn,https://www.npmjs.com/package/yarn,ecosystems
Conda,npm,nodejs,https://anaconda.org/conda-forge/nodejs,manual
